"","game_id","home_team","winning_team","losing_team","diff_abs","week"
"1",2013090500,"DEN",1,23,19.5,1
"2",2013090800,"BUF",17,2,5.5,1
"3",2013090801,"CAR",28,7,7.5,1
"4",2013090802,"CHI",8,29,0.5,1
"5",2013090803,"CLE",32,9,15.5,1
"6",2013090804,"DET",10,31,7.5,1
"7",2013090805,"IND",11,26,1.5,1
"8",2013090806,"JAX",20,6,27.5,1
"9",2013090807,"NYJ",24,5,1.5,1
"10",2013090808,"NO",4,18,3.5,1
"11",2013090809,"PIT",30,3,9.5,1
"12",2013090810,"LA",13,25,1.5,1
"13",2013090811,"SF",12,22,3.5,1
"14",2013090812,"DAL",14,27,1.5,1
"15",2013090900,"WAS",19,15,9.5,1
"16",2013090901,"LAC",21,16,4.5,1
"17",2013091200,"NE",17,5,0.5,2
"18",2013091500,"ATL",18,13,3.5,2
"19",2013091501,"BAL",23,9,5.5,2
"20",2013091502,"BUF",7,2,1.5,2
"21",2013091503,"CHI",31,8,1.5,2
"22",2013091504,"GB",22,15,15.5,2
"23",2013091505,"HOU",21,30,4.5,2
"24",2013091506,"IND",32,11,6.5,2
"25",2013091507,"KC",14,20,1.5,2
"26",2013091508,"PHI",16,19,5.5,2
"27",2013091509,"ARI",25,10,2.5,2
"28",2013091510,"TB",4,24,5.5,2
"29",2013091511,"NYG",1,27,19.5,2
"30",2013091512,"OAK",26,6,7.5,2
"31",2013091513,"SEA",28,12,23.5,2
"32",2013091600,"CIN",29,3,7.5,2
"33",2013091900,"PHI",20,19,11.5,3
"34",2013092200,"BAL",23,21,16.5,3
"35",2013092201,"CIN",29,22,1.5,3
"36",2013092202,"DAL",14,13,21.5,3
"37",2013092203,"MIA",32,18,1.5,3
"38",2013092204,"MIN",9,31,6.5,3
"39",2013092205,"NYJ",5,2,4.5,3
"40",2013092206,"NE",17,24,17.5,3
"41",2013092207,"NO",4,25,21.5,3
"42",2013092208,"TEN",30,16,0.5,3
"43",2013092209,"WAS",10,15,10.5,3
"44",2013092210,"CAR",7,27,35.5,3
"45",2013092211,"SF",11,12,22.5,3
"46",2013092212,"SEA",28,6,25.5,3
"47",2013092213,"PIT",8,3,18.5,3
"48",2013092300,"DEN",1,26,13.5,3
"49",2013092600,"LA",12,13,26.5,4
"50",2013092900,"BUF",2,23,0.5,4
"51",2013092901,"CLE",9,29,8.5,4
"52",2013092902,"DET",10,8,4.5,4
"53",2013092903,"HOU",28,21,4.5,4
"54",2013092904,"JAX",11,6,35.5,4
"55",2013092905,"KC",20,27,20.5,4
"56",2013092906,"MIN",31,3,4.5,4
"57",2013092907,"TB",25,24,5.5,4
"58",2013092908,"TEN",30,5,21.5,4
"59",2013092909,"DEN",1,19,28.5,4
"60",2013092910,"OAK",15,26,12.5,4
"61",2013092911,"LAC",16,14,7.5,4
"62",2013092912,"ATL",17,18,9.5,4
"63",2013093000,"NO",4,32,18.5,4
"64",2013100300,"CLE",9,2,8.5,5
"65",2013100600,"CHI",4,8,10.5,5
"66",2013100601,"CIN",29,17,4.5,5
"67",2013100602,"GB",22,10,10.5,5
"68",2013100603,"IND",11,28,2.5,5
"69",2013100604,"MIA",23,32,6.5,5
"70",2013100605,"NYG",19,27,17.5,5
"71",2013100606,"LA",13,6,10.5,5
"72",2013100607,"TEN",20,30,10.5,5
"73",2013100608,"ARI",25,7,13.5,5
"74",2013100609,"DAL",1,14,5.5,5
"75",2013100610,"OAK",26,16,6.5,5
"76",2013100611,"SF",12,21,27.5,5
"77",2013100700,"ATL",5,18,4.5,5
"78",2013101000,"CHI",8,27,2.5,6
"79",2013101300,"BAL",22,23,4.5,6
"80",2013101301,"BUF",29,2,5.5,6
"81",2013101302,"CLE",10,9,16.5,6
"82",2013101303,"HOU",13,21,25.5,6
"83",2013101304,"KC",20,26,13.5,6
"84",2013101305,"MIN",7,31,27.5,6
"85",2013101306,"NYJ",3,5,15.5,6
"86",2013101307,"TB",19,24,13.5,6
"87",2013101308,"DEN",1,6,13.5,6
"88",2013101309,"SEA",28,30,5.5,6
"89",2013101310,"NE",17,4,0.5,6
"90",2013101311,"SF",12,25,9.5,6
"91",2013101312,"DAL",14,15,11.5,6
"92",2013101400,"LAC",16,11,7.5,6
"93",2013101700,"ARI",28,25,14.5,7
"94",2013102000,"ATL",18,24,4.5,7
"95",2013102001,"CAR",7,13,11.5,7
"96",2013102002,"DET",29,10,5.5,7
"97",2013102003,"GB",22,9,15.5,7
"98",2013102004,"JAX",16,6,20.5,7
"99",2013102005,"KC",21,20,1.5,7
"100",2013102006,"MIA",2,32,3.5,7
"101",2013102007,"NYJ",5,17,0.5,7
"102",2013102008,"PHI",14,19,16.5,7
"103",2013102009,"WAS",15,8,1.5,7
"104",2013102010,"TEN",12,30,15.5,7
"105",2013102011,"PIT",3,23,0.5,7
"106",2013102012,"IND",11,1,3.5,7
"107",2013102100,"NYG",27,31,14.5,7
"108",2013102400,"TB",7,24,20.5,8
"109",2013102700,"DET",14,10,1.5,8
"110",2013102701,"JAX",12,6,33.5,8
"111",2013102702,"KC",20,9,3.5,8
"112",2013102703,"NE",17,32,7.5,8
"113",2013102704,"NO",4,2,15.5,8
"114",2013102705,"PHI",27,19,11.5,8
"115",2013102706,"OAK",26,3,0.5,8
"116",2013102707,"CIN",29,5,35.5,8
"117",2013102708,"ARI",25,18,11.5,8
"118",2013102709,"DEN",1,15,21.5,8
"119",2013102710,"MIN",22,31,14.5,8
"120",2013102800,"LA",28,13,7.5,8
"121",2013103100,"MIA",29,32,1.5,9
"122",2013110300,"BUF",20,2,10.5,9
"123",2013110301,"CAR",7,18,20.5,9
"124",2013110302,"DAL",14,31,0.5,9
"125",2013110303,"NYJ",5,4,3.5,9
"126",2013110304,"LA",30,13,9.5,9
"127",2013110305,"WAS",15,16,4.5,9
"128",2013110306,"OAK",19,26,31.5,9
"129",2013110307,"SEA",28,24,0.5,9
"130",2013110308,"CLE",9,23,3.5,9
"131",2013110309,"NE",17,3,21.5,9
"132",2013110310,"HOU",11,21,5.5,9
"133",2013110400,"GB",8,22,9.5,9
"134",2013110700,"MIN",31,15,4.5,10
"135",2013111000,"ATL",28,18,25.5,10
"136",2013111001,"BAL",23,29,0.5,10
"137",2013111002,"CHI",10,8,4.5,10
"138",2013111003,"GB",19,22,16.5,10
"139",2013111004,"IND",13,11,30.5,10
"140",2013111005,"NYG",27,26,1.5,10
"141",2013111006,"PIT",3,2,10.5,10
"142",2013111007,"TEN",6,30,3.5,10
"143",2013111008,"SF",7,12,3.5,10
