"","game_id","home_team","winning_team","losing_team","diff_abs","week"
"1",2014090400,"SEA",1,27,17.5,1
"2",2014090700,"ATL",2,30,0.5,1
"3",2014090701,"BAL",23,7,9.5,1
"4",2014090702,"CHI",17,8,5.5,1
"5",2014090703,"HOU",9,18,7.5,1
"6",2014090704,"KC",19,10,18.5,1
"7",2014090705,"MIA",11,32,10.5,1
"8",2014090706,"NYJ",6,26,2.5,1
"9",2014090707,"PHI",5,31,13.5,1
"10",2014090708,"PIT",4,22,0.5,1
"11",2014090709,"LA",21,3,29.5,1
"12",2014090710,"DAL",28,13,12.5,1
"13",2014090711,"TB",24,12,8.5,1
"14",2014090712,"DEN",14,29,4.5,1
"15",2014090800,"DET",15,20,18.5,1
"16",2014090801,"ARI",25,16,1.5,1
"17",2014091100,"BAL",7,4,17.5,2
"18",2014091400,"BUF",17,11,16.5,2
"19",2014091401,"CAR",24,15,14.5,2
"20",2014091402,"CIN",23,2,11.5,2
"21",2014091403,"CLE",30,22,0.5,2
"22",2014091404,"MIN",32,21,24.5,2
"23",2014091405,"NYG",16,20,13.5,2
"24",2014091406,"TEN",13,19,18.5,2
"25",2014091407,"WAS",18,31,28.5,2
"26",2014091408,"LAC",25,1,6.5,2
"27",2014091409,"TB",3,12,4.5,2
"28",2014091410,"DEN",14,10,4.5,2
"29",2014091411,"GB",27,6,4.5,2
"30",2014091412,"OAK",9,26,18.5,2
"31",2014091413,"SF",8,28,10.5,2
"32",2014091500,"IND",5,29,5.5,2
"33",2014091800,"ATL",2,12,38.5,3
"34",2014092100,"BUF",25,17,14.5,3
"35",2014092101,"CIN",23,19,23.5,3
"36",2014092102,"CLE",7,22,4.5,3
"37",2014092103,"DET",15,27,8.5,3
"38",2014092104,"JAX",29,31,28.5,3
"39",2014092105,"NE",32,26,4.5,3
"40",2014092106,"NO",30,21,8.5,3
"41",2014092107,"NYG",20,9,10.5,3
"42",2014092108,"PHI",5,18,0.5,3
"43",2014092109,"LA",13,3,5.5,3
"44",2014092110,"ARI",16,28,6.5,3
"45",2014092111,"MIA",10,11,21.5,3
"46",2014092112,"SEA",1,14,3.5,3
"47",2014092113,"CAR",4,24,19.5,3
"48",2014092200,"NYJ",8,6,9.5,3
"49",2014092500,"WAS",20,18,33.5,4
"50",2014092800,"BAL",7,24,25.5,4
"51",2014092801,"CHI",27,8,23.5,4
"52",2014092802,"HOU",9,17,2.5,4
"53",2014092803,"IND",29,19,21.5,4
"54",2014092804,"MIN",21,2,10.5,4
"55",2014092805,"NYJ",15,6,9.5,4
"56",2014092806,"OAK",11,26,25.5,4
"57",2014092807,"PIT",12,4,5.5,4
"58",2014092808,"LAC",25,31,16.5,4
"59",2014092809,"SF",28,5,5.5,4
"60",2014092810,"DAL",13,30,18.5,4
"61",2014092900,"KC",10,32,23.5,4
"62",2014100200,"GB",27,21,28.5,5
"63",2014100500,"CAR",24,8,3.5,5
"64",2014100501,"DAL",13,9,0.5,5
"65",2014100502,"DET",17,15,6.5,5
"66",2014100503,"IND",29,7,4.5,5
"67",2014100504,"JAX",4,31,9.5,5
"68",2014100505,"NO",30,12,4.5,5
"69",2014100506,"NYG",20,2,7.5,5
"70",2014100507,"PHI",5,3,1.5,5
"71",2014100508,"TEN",22,19,3.5,5
"72",2014100509,"DEN",14,16,18.5,5
"73",2014100510,"LAC",25,6,28.5,5
"74",2014100511,"SF",28,10,2.5,5
"75",2014100512,"NE",32,23,22.5,5
"76",2014100600,"WAS",1,18,12.5,5
"77",2014100900,"HOU",29,9,8.5,6
"78",2014101200,"ATL",8,2,16.5,6
"79",2014101201,"BUF",32,17,17.5,6
"80",2014101202,"CIN",24,23,2.5,6
"81",2014101203,"CLE",22,4,18.5,6
"82",2014101204,"MIA",27,11,5.5,6
"83",2014101205,"MIN",15,21,16.5,6
"84",2014101206,"NYJ",14,6,15.5,6
"85",2014101207,"TB",7,12,33.5,6
"86",2014101208,"TEN",31,19,0.5,6
"87",2014101209,"OAK",25,26,5.5,6
"88",2014101210,"ARI",16,18,6.5,6
"89",2014101211,"SEA",13,1,10.5,6
"90",2014101212,"PHI",5,20,24.5,6
"91",2014101300,"LA",28,3,15.5,6
"92",2014101600,"NE",6,32,0.5,7
"93",2014101900,"BAL",7,2,19.5,7
"94",2014101901,"BUF",21,17,1.5,7
"95",2014101902,"CHI",11,8,15.5,7
"96",2014101903,"DET",30,15,1.5,7
"97",2014101904,"GB",27,24,18.5,7
"98",2014101905,"IND",29,23,24.5,7
"99",2014101906,"JAX",31,22,15.5,7
"100",2014101907,"LA",1,3,1.5,7
"101",2014101908,"WAS",19,18,0.5,7
"102",2014101909,"LAC",10,25,5.5,7
"103",2014101910,"DAL",13,20,7.5,7
"104",2014101911,"OAK",16,26,13.5,7
"105",2014101912,"DEN",14,28,22.5,7
"106",2014102000,"PIT",4,9,4.5,7
"107",2014102300,"DEN",14,25,11.5,8
"108",2014102600,"ATL",15,2,3.5,8
"109",2014102601,"CAR",1,24,6.5,8
"110",2014102602,"CIN",23,7,0.5,8
"111",2014102603,"JAX",11,31,14.5,8
"112",2014102604,"KC",10,3,24.5,8
"113",2014102605,"NE",32,8,24.5,8
"114",2014102606,"NYJ",17,6,22.5,8
"115",2014102607,"TB",21,12,8.5,8
"116",2014102608,"TEN",9,19,16.5,8
"117",2014102609,"ARI",16,5,1.5,8
"118",2014102610,"CLE",22,26,7.5,8
"119",2014102611,"PIT",4,29,13.5,8
"120",2014102612,"NO",30,27,18.5,8
"121",2014102700,"DAL",18,13,5.5,8
"122",2014103000,"CAR",30,24,20.5,9
"123",2014110200,"CIN",23,31,7.5,9
"124",2014110201,"CLE",22,12,2.5,9
"125",2014110202,"DAL",16,13,14.5,9
"126",2014110203,"HOU",5,9,13.5,9
"127",2014110204,"KC",10,6,11.5,9
"128",2014110205,"MIA",11,25,34.5,9
