"","team_name","team_num"
"1","NE",1
"2","CHI",2
"3","HOU",3
"4","NYJ",4
"5","BUF",5
"6","WAS",6
"7","JAX",7
"8","LA",8
"9","ARI",9
"10","LAC",10
"11","TB",11
"12","OAK",12
"13","DEN",13
"14","DAL",14
"15","ATL",15
"16","SF",16
"17","KC",17
"18","CAR",18
"19","PIT",19
"20","NO",20
"21","MIN",21
"22","CIN",22
"23","CLE",23
"24","NYG",24
"25","PHI",25
"26","GB",26
"27","IND",27
"28","TEN",28
"29","BAL",29
"30","MIA",30
"31","SEA",31
"32","DET",32
