"","team_name","team_num"
"1","GB",1
"2","BAL",2
"3","LA",3
"4","TB",4
"5","CHI",5
"6","KC",6
"7","JAX",7
"8","HOU",8
"9","CLE",9
"10","LAC",10
"11","SF",11
"12","ARI",12
"13","WAS",13
"14","NYJ",14
"15","MIA",15
"16","DEN",16
"17","DET",17
"18","BUF",18
"19","PIT",19
"20","NO",20
"21","CAR",21
"22","MIN",22
"23","TEN",23
"24","IND",24
"25","NE",25
"26","ATL",26
"27","NYG",27
"28","CIN",28
"29","PHI",29
"30","OAK",30
"31","SEA",31
"32","DAL",32
