"","game_id","home_team","winning_team","losing_team","diff_abs","week"
"1",2017090700,"NE",20,1,17.5,1
"2",2017091000,"BUF",2,30,6.5,1
"3",2017091001,"CHI",27,8,8.5,1
"4",2017091002,"CIN",16,9,22.5,1
"5",2017091003,"CLE",18,7,4.5,1
"6",2017091004,"DET",6,31,9.5,1
"7",2017091005,"HOU",21,5,23.5,1
"8",2017091007,"TEN",24,4,12.5,1
"9",2017091008,"WAS",29,3,14.5,1
"10",2017091009,"LA",10,22,32.5,1
"11",2017091010,"GB",12,26,5.5,1
"12",2017091011,"SF",23,11,22.5,1
"13",2017091012,"DAL",13,28,13.5,1
"14",2017091100,"MIN",14,19,7.5,1
"15",2017091101,"DEN",15,25,0.5,1
"16",2017091400,"CIN",5,9,6.5,2
"17",2017091700,"BAL",16,7,11.5,2
"18",2017091701,"CAR",23,2,3.5,2
"19",2017091702,"IND",31,22,5.5,2
"20",2017091703,"JAX",4,21,23.5,2
"21",2017091704,"KC",20,29,4.5,2
"22",2017091705,"NO",1,19,18.5,2
"23",2017091706,"PIT",18,14,14.5,2
"24",2017091707,"TB",17,8,19.5,2
"25",2017091708,"LAC",32,25,4.5,2
"26",2017091709,"OAK",24,30,22.5,2
"27",2017091710,"DEN",15,13,21.5,2
"28",2017091711,"LA",3,10,9.5,2
"29",2017091712,"SEA",26,11,0.5,2
"30",2017091713,"ATL",27,12,7.5,2
"31",2017091800,"NYG",6,28,15.5,2
"32",2017092100,"SF",10,11,4.5,3
"33",2017092400,"JAX",21,16,34.5,3
"34",2017092401,"BUF",2,15,7.5,3
"35",2017092402,"CAR",19,23,23.5,3
"36",2017092403,"CHI",8,18,3.5,3
"37",2017092404,"DET",27,6,7.5,3
"38",2017092405,"IND",22,7,0.5,3
"39",2017092406,"MIN",14,17,14.5,3
"40",2017092407,"NE",1,5,1.5,3
"41",2017092408,"NYJ",30,32,11.5,3
"42",2017092409,"PHI",29,28,0.5,3
"43",2017092410,"TEN",4,26,3.5,3
"44",2017092411,"GB",12,9,1.5,3
"45",2017092412,"LAC",20,25,16.5,3
"46",2017092413,"WAS",3,24,14.5,3
"47",2017092500,"ARI",13,31,13.5,3
"48",2017092800,"GB",12,8,18.5,4
"49",2017100100,"MIA",19,32,22.5,4
"50",2017100101,"ATL",2,27,7.5,4
"51",2017100102,"BAL",18,16,19.5,4
"52",2017100103,"CLE",9,7,26.5,4
"53",2017100104,"DAL",10,13,7.5,4
"54",2017100105,"HOU",5,4,39.5,4
"55",2017100106,"MIN",6,14,9.5,4
"56",2017100107,"NE",23,1,5.5,4
"57",2017100108,"NYJ",30,21,1.5,4
"58",2017100109,"ARI",31,11,0.5,4
"59",2017100110,"LAC",29,25,4.5,4
"60",2017100111,"TB",28,17,0.5,4
"61",2017100112,"DEN",15,24,3.5,4
"62",2017100113,"SEA",26,22,23.5,4
"63",2017100200,"KC",20,3,6.5,4
"64",2017100500,"TB",1,17,7.5,5
"65",2017100800,"CIN",9,2,1.5,5
"66",2017100801,"CLE",30,7,5.5,5
"67",2017100802,"DET",23,6,5.5,5
"68",2017100803,"IND",22,11,0.5,5
"69",2017100804,"MIA",32,4,2.5,5
