"","game_id","home_team","winning_team","losing_team","diff_abs","week"
"1",2012090500,"NYG",31,1,9.5,1
"2",2012090900,"CHI",2,24,18.5,1
"3",2012090901,"MIN",8,18,0.5,1
"4",2012090902,"NYJ",9,20,15.5,1
"5",2012090903,"HOU",10,17,18.5,1
"6",2012090904,"TEN",23,7,22.5,1
"7",2012090905,"DET",6,25,2.5,1
"8",2012090906,"NO",32,5,11.5,1
"9",2012090907,"CLE",21,4,4.5,1
"10",2012090908,"KC",30,3,18.5,1
"11",2012090909,"GB",29,12,12.5,1
"12",2012090910,"ARI",11,26,1.5,1
"13",2012090911,"TB",13,22,3.5,1
"14",2012090912,"DEN",14,27,9.5,1
"15",2012091000,"BAL",15,19,27.5,1
"16",2012091001,"OAK",28,16,10.5,1
"17",2012091300,"GB",12,2,10.5,2
"18",2012091600,"NYG",1,13,5.5,2
"19",2012091601,"CAR",22,5,4.5,2
"20",2012091602,"NE",11,23,4.5,2
"21",2012091603,"IND",24,8,0.5,2
"22",2012091604,"PHI",15,21,1.5,2
"23",2012091605,"BUF",20,3,14.5,2
"24",2012091606,"CIN",19,4,3.5,2
"25",2012091607,"JAX",10,18,22.5,2
"26",2012091608,"SEA",26,31,16.5,2
"27",2012091609,"LA",25,32,1.5,2
"28",2012091610,"PIT",27,9,14.5,2
"29",2012091611,"LAC",28,7,25.5,2
"30",2012091612,"MIA",17,16,19.5,2
"31",2012091613,"SF",29,6,5.5,2
"32",2012091700,"ATL",30,14,3.5,2
"33",2012092000,"CAR",1,22,31.5,3
"34",2012092300,"DAL",31,13,3.5,3
"35",2012092301,"CHI",2,25,13.5,3
"36",2012092302,"MIN",8,29,8.5,3
"37",2012092303,"TEN",6,7,1.5,3
"38",2012092304,"WAS",19,32,10.5,3
"39",2012092305,"NO",3,5,5.5,3
"40",2012092306,"MIA",9,17,4.5,3
"41",2012092307,"CLE",20,4,12.5,3
"42",2012092308,"IND",18,24,7.5,3
"43",2012092309,"ARI",11,21,17.5,3
"44",2012092310,"LAC",30,28,26.5,3
"45",2012092311,"DEN",10,14,8.5,3
"46",2012092312,"OAK",16,27,0.5,3
"47",2012092313,"BAL",23,15,1.5,3
"48",2012092400,"SEA",12,26,0.5,3
"49",2012092700,"BAL",15,4,3.5,4
"50",2012093000,"BUF",23,20,26.5,4
"51",2012093001,"HOU",10,7,19.5,4
"52",2012093002,"KC",28,3,18.5,4
"53",2012093003,"DET",8,6,8.5,4
"54",2012093004,"ATL",22,30,0.5,4
"55",2012093005,"LA",25,26,3.5,4
"56",2012093006,"NYJ",29,9,35.5,4
"57",2012093007,"ARI",11,17,0.5,4
"58",2012093008,"DEN",14,16,28.5,4
"59",2012093009,"JAX",19,18,19.5,4
"60",2012093010,"GB",5,12,1.5,4
"61",2012093011,"TB",32,13,4.5,4
"62",2012093012,"PHI",1,21,0.5,4
"63",2012100100,"DAL",2,31,16.5,4
"64",2012100400,"LA",25,11,11.5,5
"65",2012100700,"WAS",30,32,10.5,5
"66",2012100701,"PIT",21,27,0.5,5
"67",2012100702,"IND",24,12,0.5,5
"68",2012100703,"NYG",1,4,11.5,5
"69",2012100704,"MIN",8,7,20.5,5
"70",2012100705,"CIN",17,19,6.5,5
"71",2012100706,"KC",15,3,5.5,5
"72",2012100707,"CAR",26,22,7.5,5
"73",2012100708,"JAX",2,18,38.5,5
"74",2012100709,"NE",23,14,7.5,5
"75",2012100710,"SF",29,20,39.5,5
"76",2012100711,"NO",5,28,4.5,5
"77",2012100800,"NYJ",10,9,8.5,5
"78",2012101100,"TEN",7,27,0.5,6
"79",2012101400,"ATL",16,30,0.5,6
"80",2012101401,"TB",13,3,25.5,6
"81",2012101402,"NYJ",9,24,23.5,6
"82",2012101403,"CLE",4,19,6.5,6
"83",2012101404,"PHI",6,21,5.5,6
"84",2012101405,"MIA",17,25,0.5,6
"85",2012101406,"BAL",31,15,0.5,6
"86",2012101407,"ARI",20,11,5.5,6
"87",2012101408,"SEA",23,26,1.5,6
"88",2012101409,"SF",1,29,25.5,6
"89",2012101410,"WAS",32,8,8.5,6
"90",2012101411,"HOU",12,10,21.5,6
"91",2012101500,"LAC",14,28,12.5,6
"92",2012101800,"SF",29,26,4.5,7
"93",2012102101,"MIN",8,11,3.5,7
"94",2012102102,"CAR",31,22,7.5,7
"95",2012102103,"TB",5,13,9.5,7
"96",2012102104,"LA",12,25,12.5,7
"97",2012102105,"HOU",10,15,26.5,7
"98",2012102106,"IND",24,4,1.5,7
"99",2012102107,"BUF",7,20,3.5,7
"100",2012102108,"NE",23,9,0.5,7
"101",2012102109,"OAK",16,18,0.5,7
"102",2012102110,"CIN",27,19,9.5,7
"103",2012102200,"CHI",2,6,3.5,7
"104",2012102500,"MIN",13,8,21.5,8
"105",2012102800,"GB",12,18,5.5,8
"106",2012102801,"NYJ",17,9,22.5,8
"107",2012102802,"CLE",28,4,1.5,8
"108",2012102803,"TEN",24,7,8.5,8
"109",2012102804,"LA",23,25,40.5,8
"110",2012102805,"PHI",30,21,15.5,8
"111",2012102806,"CHI",22,2,1.5,8
"112",2012102807,"DET",6,26,1.5,8
"113",2012102808,"PIT",27,32,12.5,8
"114",2012102809,"KC",16,3,12.5,8
"115",2012102810,"DAL",1,31,6.5,8
"116",2012102811,"DEN",14,5,17.5,8
"117",2012102900,"ARI",29,11,23.5,8
"118",2012110100,"LAC",28,3,13.5,9
"119",2012110400,"WAS",22,32,10.5,9
"120",2012110401,"GB",12,11,11.5,9
"121",2012110402,"JAX",6,18,19.5,9
"122",2012110403,"TEN",2,7,31.5,9
"123",2012110404,"CIN",14,19,10.5,9
"124",2012110405,"CLE",15,4,12.5,9
"125",2012110406,"HOU",10,20,9.5,9
"126",2012110407,"IND",24,17,0.5,9
"127",2012110408,"SEA",26,8,7.5,9
"128",2012110409,"OAK",13,16,12.5,9
"129",2012110410,"NYG",27,1,7.5,9
"130",2012110411,"ATL",30,31,3.5,9
"131",2012110500,"NO",5,21,11.5,9
"132",2012110800,"JAX",24,18,18.5,10
"133",2012111100,"CAR",14,22,22.5,10
"134",2012111101,"TB",13,28,5.5,10
