"","game_id","home_team","winning_team","losing_team","diff_abs","week"
"1",2010090900,"NO",1,23,2.5,1
"2",2010091200,"TB",2,24,0.5,1
"3",2010091201,"BUF",32,8,7.5,1
"4",2010091202,"NE",9,18,10.5,1
"5",2010091203,"HOU",10,28,7.5,1
"6",2010091204,"JAX",7,26,4.5,1
"7",2010091205,"TEN",6,25,22.5,1
"8",2010091206,"NYG",5,19,10.5,1
"9",2010091207,"CHI",4,21,2.5,1
"10",2010091208,"LA",31,12,8.5,1
"11",2010091209,"PIT",3,20,3.5,1
"12",2010091210,"PHI",17,11,9.5,1
"13",2010091211,"SEA",13,29,21.5,1
"14",2010091212,"WAS",14,22,2.5,1
"15",2010091300,"NYJ",30,15,3.5,1
"16",2010091301,"KC",16,27,3.5,1
"17",2010091900,"WAS",10,14,5.5,2
"18",2010091901,"GB",17,8,24.5,2
"19",2010091902,"MIN",32,23,5.5,2
"20",2010091903,"CLE",16,24,3.5,2
"21",2010091904,"TEN",3,6,10.5,2
"22",2010091905,"DAL",4,22,10.5,2
"23",2010091906,"DET",11,21,5.5,2
"24",2010091907,"ATL",20,31,31.5,2
"25",2010091908,"CAR",2,19,15.5,2
"26",2010091909,"DEN",26,13,14.5,2
"27",2010091910,"OAK",25,12,1.5,2
"28",2010091911,"NYJ",15,9,11.5,2
"29",2010091912,"CIN",18,30,2.5,2
"30",2010091913,"LAC",27,7,22.5,2
"31",2010091914,"IND",28,5,20.5,2
"32",2010092000,"SF",1,29,5.5,2
"33",2010092600,"NYG",6,5,23.5,3
"34",2010092601,"CAR",18,19,15.5,3
"35",2010092602,"TB",3,2,26.5,3
"36",2010092603,"NE",9,8,5.5,3
"37",2010092604,"BAL",30,24,4.5,3
"38",2010092605,"MIN",23,21,11.5,3
"39",2010092606,"NO",20,1,5.5,3
"40",2010092607,"LA",12,14,11.5,3
"41",2010092608,"HOU",22,10,16.5,3
"42",2010092609,"KC",16,29,18.5,3
"43",2010092610,"JAX",11,7,27.5,3
"44",2010092611,"DEN",28,26,16.5,3
"45",2010092612,"ARI",25,31,1.5,3
"46",2010092613,"SEA",13,27,4.5,3
"47",2010092614,"MIA",15,32,10.5,3
"48",2010092700,"CHI",17,4,2.5,3
"49",2010100300,"BUF",15,8,26.5,4
"50",2010100301,"CLE",24,18,0.5,4
"51",2010100302,"PIT",30,3,5.5,4
"52",2010100303,"TEN",26,6,8.5,4
"53",2010100304,"GB",21,17,1.5,4
"54",2010100305,"ATL",20,29,0.5,4
"55",2010100306,"NO",19,1,0.5,4
"56",2010100307,"LA",12,13,14.5,4
"57",2010100308,"JAX",7,28,0.5,4
"58",2010100309,"OAK",10,25,9.5,4
"59",2010100310,"PHI",14,11,7.5,4
"60",2010100311,"LAC",27,31,28.5,4
"61",2010100312,"NYG",5,4,11.5,4
"62",2010100400,"MIA",9,32,27.5,4
"63",2010101000,"BUF",7,8,12.5,5
"64",2010101001,"BAL",30,26,11.5,5
"65",2010101002,"IND",28,16,7.5,5
"66",2010101003,"WAS",14,17,0.5,5
"67",2010101004,"DET",21,12,40.5,5
"68",2010101005,"CAR",4,19,19.5,5
"69",2010101006,"CIN",2,18,4.5,5
"70",2010101007,"CLE",20,24,11.5,5
"71",2010101008,"HOU",5,10,26.5,5
"72",2010101009,"ARI",31,1,5.5,5
"73",2010101010,"DAL",6,22,9.5,5
"74",2010101011,"OAK",25,27,3.5,5
"75",2010101012,"SF",11,29,6.5,5
"76",2010101100,"NYJ",15,23,5.5,5
"77",2010101700,"GB",32,17,5.5,6
"78",2010101701,"LA",12,27,0.5,6
"79",2010101702,"NE",9,30,0.5,6
"80",2010101703,"PIT",3,24,15.5,6
"81",2010101704,"HOU",10,16,1.5,6
"82",2010101705,"NYG",5,21,5.5,6
"83",2010101706,"PHI",11,20,11.5,6
"84",2010101707,"CHI",13,4,6.5,6
"85",2010101708,"TB",1,2,27.5,6
"86",2010101709,"DEN",15,26,6.5,6
"87",2010101710,"SF",29,25,5.5,6
"88",2010101711,"MIN",23,22,0.5,6
"89",2010101712,"WAS",28,14,5.5,6
"90",2010101800,"JAX",6,7,29.5,6
"91",2010102400,"ATL",20,18,4.5,7
"92",2010102401,"MIA",3,32,3.5,7
"93",2010102402,"BAL",30,8,0.5,7
"94",2010102403,"KC",16,7,18.5,7
"95",2010102404,"NO",24,1,13.5,7
"96",2010102405,"CHI",14,4,5.5,7
"97",2010102406,"CAR",19,29,1.5,7
"98",2010102407,"TB",12,2,1.5,7
"99",2010102408,"TEN",6,11,14.5,7
