"","game_id","home_team","winning_team","losing_team","diff_abs","week"
"1",2015091000,"NE",1,19,4.5,1
"2",2015091300,"CHI",26,2,10.5,1
"3",2015091301,"LA",8,31,1.5,1
"4",2015091302,"JAX",18,7,12.5,1
"5",2015091303,"WAS",30,6,8.5,1
"6",2015091304,"BUF",5,27,10.5,1
"7",2015091305,"NYJ",4,23,18.5,1
"8",2015091306,"HOU",17,3,9.5,1
"9",2015091307,"ARI",9,20,9.5,1
"10",2015091308,"LAC",10,32,3.5,1
"11",2015091309,"DEN",13,29,3.5,1
"12",2015091310,"OAK",22,12,22.5,1
"13",2015091311,"TB",28,11,29.5,1
"14",2015091312,"DAL",24,14,0.5,1
"15",2015091400,"ATL",25,15,0.5,1
"16",2015091401,"SF",16,21,14.5,1
"17",2015091700,"KC",13,17,9.5,2
"18",2015092000,"CAR",18,3,4.5,2
"19",2015092001,"BUF",1,5,10.5,2
"20",2015092002,"CIN",22,10,2.5,2
"21",2015092003,"CLE",23,28,10.5,2
"22",2015092004,"NYG",15,24,6.5,2
"23",2015092005,"WAS",6,8,11.5,2
"24",2015092006,"CHI",9,2,26.5,2
"25",2015092007,"MIN",21,32,7.5,2
"26",2015092008,"NO",11,20,9.5,2
"27",2015092009,"PIT",19,16,22.5,2
"28",2015092010,"OAK",12,29,1.5,2
"29",2015092011,"JAX",7,30,0.5,2
"30",2015092012,"PHI",14,25,11.5,2
"31",2015092013,"GB",26,31,7.5,2
"32",2015092100,"IND",4,27,15.5,2
"33",2015092400,"NYG",24,6,8.5,3
"34",2015092700,"DAL",15,14,13.5,3
"35",2015092701,"CAR",18,20,2.5,3
"36",2015092702,"NYJ",25,4,8.5,3
"37",2015092703,"HOU",3,11,7.5,3
"38",2015092704,"MIN",21,10,13.5,3
"39",2015092705,"LA",19,8,8.5,3
"40",2015092706,"NE",1,7,31.5,3
"41",2015092707,"BAL",22,29,7.5,3
"42",2015092708,"CLE",12,23,9.5,3
"43",2015092709,"TEN",27,28,3.5,3
"44",2015092710,"ARI",9,16,35.5,3
"45",2015092711,"SEA",31,2,23.5,3
"46",2015092712,"MIA",5,30,28.5,3
"47",2015092713,"DET",13,32,14.5,3
"48",2015092800,"GB",26,17,7.5,3
"49",2015100100,"PIT",29,19,5.5,4
"50",2015100400,"MIA",4,30,15.5,4
"51",2015100401,"CHI",12,2,0.5,4
"52",2015100402,"ATL",15,3,23.5,4
"53",2015100403,"CIN",22,17,12.5,4
"54",2015100404,"IND",27,7,0.5,4
"55",2015100405,"WAS",6,25,0.5,4
"56",2015100406,"TB",18,11,15.5,4
"57",2015100407,"BUF",24,5,16.5,4
"58",2015100408,"LAC",10,23,0.5,4
"59",2015100409,"SF",26,16,16.5,4
"60",2015100410,"ARI",8,9,4.5,4
"61",2015100411,"DEN",13,21,0.5,4
"62",2015100412,"NO",20,14,3.5,4
"63",2015100500,"SEA",31,32,1.5,4
"64",2015100800,"HOU",27,3,9.5,5
"65",2015101100,"PHI",25,20,19.5,5
"66",2015101101,"KC",2,17,4.5,5
"67",2015101102,"CIN",22,31,1.5,5
"68",2015101103,"ATL",15,6,3.5,5
"69",2015101104,"TB",11,7,2.5,5
"70",2015101105,"BAL",23,29,5.5,5
"71",2015101106,"TEN",5,28,3.5,5
"72",2015101107,"GB",26,8,10.5,5
"73",2015101108,"DET",9,32,27.5,5
"74",2015101109,"DAL",1,14,26.5,5
"75",2015101110,"OAK",13,12,7.5,5
"76",2015101111,"NYG",24,16,0.5,5
"77",2015101200,"LAC",19,10,5.5,5
"78",2015101500,"NO",20,15,6.5,6
"79",2015101800,"DET",32,2,0.5,6
"80",2015101801,"NYJ",4,6,12.5,6
"81",2015101802,"PIT",19,9,9.5,6
"82",2015101803,"MIN",21,17,3.5,6
"83",2015101804,"BUF",22,5,15.5,6
"84",2015101805,"CLE",13,23,4.5,6
"85",2015101806,"TEN",30,28,29.5,6
"86",2015101807,"JAX",3,7,12.5,6
"87",2015101808,"SEA",18,31,6.5,6
"88",2015101809,"GB",26,10,4.5,6
"89",2015101810,"SF",16,29,2.5,6
"90",2015101811,"IND",1,27,10.5,6
"91",2015101900,"PHI",25,24,16.5,6
"92",2015102200,"SF",31,16,19.5,7
"93",2015102500,"JAX",5,7,0.5,7
"94",2015102501,"LA",8,23,14.5,7
