"","team","win_perc_2017"
"1","NE",0.8125
"2","BUF",0.5625
"3","WAS",0.4375
"4","TEN",0.5625
"5","HOU",0.25
"6","DET",0.5625
"7","CLE",0
"8","CHI",0.3125
"9","CIN",0.40625
"10","LA",0.6875
"11","SF",0.375
"12","GB",0.4375
"13","DAL",0.5625
"14","MIN",0.8125
"15","DEN",0.3125
"16","BAL",0.5625
"17","TB",0.3125
"18","PIT",0.8125
"19","NO",0.6875
"20","KC",0.625
"21","JAX",0.625
"22","IND",0.28125
"23","CAR",0.6875
"24","OAK",0.375
"25","LAC",0.5625
"26","SEA",0.5625
"27","ATL",0.625
"28","NYG",0.1875
"29","PHI",0.8125
"30","NYJ",0.3125
"31","ARI",0.5
"32","MIA",0.375
